행정기관코드,행정기관코드/100,법정동코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수
1154567000,11545670,1118057,서울특별시 금천구 시흥제1동,32211,13378,16361,15850
1154568000,11545680,1118058,서울특별시 금천구 시흥제2동,26047,8838,12992,13055
1154569000,11545690,1118059,서울특별시 금천구 시흥제3동,13242,4915,6723,6519
1154570000,11545700,1118060,서울특별시 금천구 시흥제4동,25908,10005,13036,12872
1154571000,11545710,1118061,서울특별시 금천구 시흥제5동,25876,10098,13034,12842
1156000000,11560000,#N/A,서울특별시 영등포구 ,408604,168172,206091,202513
1156051500,11560515,1119073,서울특별시 영등포구 영등포본동,26249,11135,13308,12941
1156053500,11560535,1119074,서울특별시 영등포구 영등포동,18137,9338,10088,8049
1156054000,11560540,1119054,서울특별시 영등포구 여의동,33180,12319,16104,17076
1156055000,11560550,1119055,서울특별시 영등포구 당산제1동,20359,8829,10308,10051
1156056000,11560560,1119056,서울특별시 영등포구 당산제2동,32902,12715,16224,16678
1156058500,11560585,1119075,서울특별시 영등포구 도림동,21550,9845,10973,10577
1156060500,11560605,1119076,서울특별시 영등포구 문래동,31798,11680,15918,15880
1156061000,11560610,1119061,서울특별시 영등포구 양평제1동,16931,6919,8574,8357
1156062000,11560620,1119062,서울특별시 영등포구 양평제2동,21625,8012,11024,10601
1156063000,11560630,1119063,서울특별시 영등포구 신길제1동,20939,9692,10555,10384
1156065000,11560650,1119065,서울특별시 영등포구 신길제3동,20287,8198,10215,10072
1156066000,11560660,1119066,서울특별시 영등포구 신길제4동,13997,5851,7061,6936
1156067000,11560670,1119067,서울특별시 영등포구 신길제5동,18199,7771,9238,8961
1156068000,11560680,1119068,서울특별시 영등포구 신길제6동,24790,9737,12334,12456
1156069000,11560690,1119069,서울특별시 영등포구 신길제7동,19749,7564,9927,9822
1156070000,11560700,1119070,서울특별시 영등포구 대림제1동,18145,7696,9150,8995
1156071000,11560710,1119071,서울특별시 영등포구 대림제2동,19262,8600,9649,9613
1156072000,11560720,1119072,서울특별시 영등포구 대림제3동,30505,12271,15441,15064
1159000000,11590000,#N/A,서울특별시 동작구 ,401474,163906,198355,203119
1159051000,11590510,1120072,서울특별시 동작구 노량진제1동,34417,14180,17275,17142
